"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"29",1000,1,0,0,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,1,0,0,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.779386878980708,5148.2,-14,10,"Consensus",10,"Consensus (1, 10)"
"32",10,0.994916157716946,334.2,-1,10,"Consensus",10,"Consensus (10, 10)"
"33",100,1,39.8,0,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,41.4,0,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,1,25.6,0,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.901492575576217,5186.13333333333,-12,10,"Consensus",30,"Consensus (1, 30)"
"37",10,0.994916157716946,359.466666666667,-1,10,"Consensus",30,"Consensus (10, 30)"
"38",100,1,19.6666666666667,0,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,31.3333333333334,0,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,1,18.1333333333334,0,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0.849685422924167,5159.4,-16,10,"Consensus",50,"Consensus (1, 50)"
"42",10,0.994916157716946,402.48,-1,10,"Consensus",50,"Consensus (10, 50)"
"43",100,1,22.72,0,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,1,27.76,0,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,1,25.8,0,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0.867599423140385,5191.28,-16,10,"Consensus",100,"Consensus (1, 100)"
"47",10,0.994916157716946,364.700000000001,-1,10,"Consensus",100,"Consensus (10, 100)"
"48",100,1,25.08,0,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,1,25.48,0,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,1,26.34,0,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.467897764048952,5238,-20,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.962336449148431,468,-1,11,"Consensus",1,"Consensus (10, 1)"
"53",100,1,0,0,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,1,0,0,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,1,0,0,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.750593815586654,5429.6,-20,11,"Consensus",10,"Consensus (1, 10)"
"57",10,1,351.6,0,11,"Consensus",10,"Consensus (10, 10)"
"58",100,1,0,0,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,1,28.6,0,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,1,0,0,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.856560935343562,5197.06666666667,-16,11,"Consensus",30,"Consensus (1, 30)"
"62",10,1,355.866666666667,0,11,"Consensus",30,"Consensus (10, 30)"
"63",100,1,4.53333333333334,0,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,1,12.4666666666667,0,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,1,5.06666666666668,0,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0.857303460754119,5214.6,-18,11,"Consensus",50,"Consensus (1, 50)"
"67",10,1,348.84,0,11,"Consensus",50,"Consensus (10, 50)"
"68",100,1,6.72,0,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,1,8.84000000000003,0,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,1,7.79999999999997,0,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,0.89420156469432,5164.1,-13,11,"Consensus",100,"Consensus (1, 100)"
"72",10,1,281.740000000001,0,11,"Consensus",100,"Consensus (10, 100)"
"73",100,1,9.64,0,11,"Consensus",100,"Consensus (100, 100)"
"74",1000,1,7.74000000000004,0,11,"Consensus",100,"Consensus (1000, 100)"
"75",10000,1,10.14,0,11,"Consensus",100,"Consensus (10000, 100)"
"76",1,0.688252258313454,3350,-19,12,"Consensus",1,"Consensus (1, 1)"
"77",10,0.994329643200634,72,-1,12,"Consensus",1,"Consensus (10, 1)"
"78",100,0.994329643200634,72,-1,12,"Consensus",1,"Consensus (100, 1)"
"79",1000,0.994329643200634,72,-1,12,"Consensus",1,"Consensus (1000, 1)"
"80",10000,0.994329643200634,72,-1,12,"Consensus",1,"Consensus (10000, 1)"
"81",1,0.846016141808464,5249,-12,12,"Consensus",10,"Consensus (1, 10)"
"82",10,0.994329643200634,343.6,-1,12,"Consensus",10,"Consensus (10, 10)"
"83",100,0.994329643200634,72,-1,12,"Consensus",10,"Consensus (100, 10)"
"84",1000,0.994329643200634,72,-1,12,"Consensus",10,"Consensus (1000, 10)"
"85",10000,0.994329643200634,72,-1,12,"Consensus",10,"Consensus (10000, 10)"
"86",1,0.902816125956512,5171.06666666667,-12,12,"Consensus",30,"Consensus (1, 30)"
"87",10,0.994329643200634,402.866666666667,-1,12,"Consensus",30,"Consensus (10, 30)"
"88",100,0.994329643200634,67.2,-1,12,"Consensus",30,"Consensus (100, 30)"
"89",1000,0.994329643200634,71.9333333333333,-1,12,"Consensus",30,"Consensus (1000, 30)"
"90",10000,0.994329643200634,72,-1,12,"Consensus",30,"Consensus (10000, 30)"
"91",1,0.885237538969965,5226.44,-12,12,"Consensus",50,"Consensus (1, 50)"
"92",10,0.994329643200634,430.52,-1,12,"Consensus",50,"Consensus (10, 50)"
"93",100,0.994329643200634,64.8,-1,12,"Consensus",50,"Consensus (100, 50)"
"94",1000,0.994329643200634,71.88,-1,12,"Consensus",50,"Consensus (1000, 50)"
"95",10000,0.994329643200634,67.68,-1,12,"Consensus",50,"Consensus (10000, 50)"
"96",1,0.895223769337893,5148.56,-14,12,"Consensus",100,"Consensus (1, 100)"
"97",10,0.994329643200634,417.600000000001,-1,12,"Consensus",100,"Consensus (10, 100)"
"98",100,0.994329643200634,62.8,-1,12,"Consensus",100,"Consensus (100, 100)"
"99",1000,0.994329643200634,69.26,-1,12,"Consensus",100,"Consensus (1000, 100)"
"100",10000,0.994329643200634,65.52,-1,12,"Consensus",100,"Consensus (10000, 100)"
"101",1,0.46978886503329,6704,-20,13,"Consensus",1,"Consensus (1, 1)"
"102",10,0.988203715362552,150,-2,13,"Consensus",1,"Consensus (10, 1)"
"103",100,0.987824481452101,156,0,13,"Consensus",1,"Consensus (100, 1)"
"104",1000,0.987824481452101,156,0,13,"Consensus",1,"Consensus (1000, 1)"
"105",10000,1,0,0,13,"Consensus",1,"Consensus (10000, 1)"
"106",1,0.74850883159171,5915.4,-15,13,"Consensus",10,"Consensus (1, 10)"
"107",10,0.994358445919113,678,-1,13,"Consensus",10,"Consensus (10, 10)"
