"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"71","K42
(11)","BP","GO:1903047","mitotic cell cycle process",0.818181818181818,"135/549",9.18111454590652e-05,0.0062661106775812,0.00546034707203914,"852099/853100/852787/855636/854249/851957/850639/856577/852249",9,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
"72","K42
(11)","CC","GO:0005856","cytoskeleton",0.636363636363636,"79/550",0.000201004823713622,0.0128643087176718,0.0103676172231237,"852099/852787/851957/850639/856577/855555/852249",7,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
"73","K42
(11)","CC","GO:0099080","supramolecular complex",0.454545454545455,"43/550",0.000754206853763185,0.0241346193204219,0.0194505978075769,"852099/853100/852787/856577/852249",5,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
"74","K46
(11)","BP","GO:0007088","regulation of mitotic nuclear division",0.454545454545455,"33/549",0.000206512631080168,0.0372090025201261,0.0302656958297676,"853513/855859/854240/853880/852655",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"75","K46
(11)","BP","GO:0051129","negative regulation of cellular component organization",0.454545454545455,"36/549",0.000318723279657168,0.0372090025201261,0.0302656958297676,"853513/855859/854240/853880/852655",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"76","K46
(11)","CC","GO:0000922","spindle pole",0.363636363636364,"16/550",0.000140617993976376,0.00553052357610269,0.0035624739453293,"850734/853513/854240/854889",4,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"77","K46
(11)","CC","GO:0005819","spindle",0.454545454545455,"33/550",0.000204736335436337,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"78","K46
(11)","CC","GO:0015630","microtubule cytoskeleton",0.545454545454545,"57/550",0.000294881915333491,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889/852655",6,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"79","K46
(11)","CC","GO:0099080","supramolecular complex",0.454545454545455,"43/550",0.000754206853763185,0.0084219765336889,0.0054249966674194,"850734/855859/854240/854889/852655",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"80","K46
(11)","CC","GO:0005856","cytoskeleton",0.545454545454545,"79/550",0.00186646482563621,0.0113684675743297,0.00732297204316601,"850734/853513/855859/854240/854889/852655",6,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
