"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"74","K46
(11)","GO:0031974","membrane-enclosed lumen",0.636363636363636,"157/550",0.0153963536701481,0.0468888952681782,0.0302033732285201,"850734/855859/851177/854240/853880/854889/856698",7,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"75","K46
(11)","GO:0043233","organelle lumen",0.636363636363636,"157/550",0.0153963536701481,0.0468888952681782,0.0302033732285201,"850734/855859/851177/854240/853880/854889/856698",7,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"76","K49
(20)","GO:0000794","condensed nuclear chromosome",0.35,"36/550",0.000119113335225845,0.00603149242682218,0.00390006277223088,"853010/850995/854827/852180/851533/851708/851925",7,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"77","K49
(20)","GO:0000793","condensed chromosome",0.35,"38/550",0.000172328355052062,0.00603149242682218,0.00390006277223088,"853010/850995/854827/852180/851533/851708/851925",7,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"78","K49
(20)","GO:0099080","supramolecular complex",0.3,"43/550",0.00272119556298422,0.0299203024639684,0.0193469624954984,"853010/854827/853539/851533/851708/852248",6,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"79","K49
(20)","GO:0000228","nuclear chromosome",0.45,"94/550",0.00281485948967624,0.0299203024639684,0.0193469624954984,"853010/850995/854827/852180/851533/851708/851813/852248/851925",9,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"80","K49
(20)","GO:0005876","spindle microtubule",0.15,"10/550",0.00420588966417562,0.0299203024639684,0.0193469624954984,"853010/853539/851708",3,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"81","K49
(20)","GO:0005694","chromosome",0.5,"121/550",0.00461701718594708,0.0299203024639684,0.0193469624954984,"853010/850995/854827/852180/855228/851533/851708/851813/852248/851925",10,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"82","K49
(20)","GO:0031974","membrane-enclosed lumen",0.55,"157/550",0.0103143248739801,0.0481335160785738,0.0311239276899049,"853010/850995/854827/852180/855228/851533/851708/851813/856112/852248/851925",11,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"83","K49
(20)","GO:0043233","organelle lumen",0.55,"157/550",0.0103143248739801,0.0481335160785738,0.0311239276899049,"853010/850995/854827/852180/855228/851533/851708/851813/856112/852248/851925",11,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"CC"
"84","K60
(16)","GO:0030684","preribosome",0.5625,"16/550",1.01425407717165e-11,2.53563519292913e-10,1.4946902189898e-10,"854221/852569/853956/850689/856553/855408/851208/851403/851656",9,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"85","K60
(16)","GO:1990904","ribonucleoprotein complex",0.5625,"20/550",1.42004960422694e-10,1.77506200528367e-09,1.04635233995669e-09,"854221/852569/853956/850689/856553/855408/851208/851403/851656",9,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"86","K60
(16)","GO:0005730","nucleolus",0.625,"31/550",4.44827447881699e-10,3.70689539901416e-09,2.18511728783992e-09,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"87","K60
(16)","GO:0031981","nuclear lumen",0.625,"142/550",0.00183862819134572,0.0114914261959108,0.00677389333653687,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"88","K60
(16)","GO:0032991","protein-containing complex",0.6875,"179/550",0.00286351142542899,0.0122779272923657,0.00723751503549981,"854221/853996/852569/855571/853956/850689/856553/855408/851208/851403/851656",11,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"89","K60
(16)","GO:0031974","membrane-enclosed lumen",0.625,"157/550",0.00426059844258507,0.0122779272923657,0.00723751503549981,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"90","K60
(16)","GO:0043233","organelle lumen",0.625,"157/550",0.00426059844258507,0.0122779272923657,0.00723751503549981,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"91","K60
(16)","GO:0005634","nucleus",0.875,"295/550",0.00442005382525167,0.0122779272923657,0.00723751503549981,"854221/853784/855571/851497/853956/850689/856553/855408/850982/854021/851208/851403/851656/852076",14,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"92","K60
(16)","GO:0043228","non-membrane-bounded organelle",0.6875,"219/550",0.0170614157615191,0.0387759449125433,0.0228573991063413,"854221/852569/853784/853956/856553/855408/850982/854021/851208/851403/851656",11,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"93","K60
(16)","GO:0043232","intracellular non-membrane-bounded organelle",0.6875,"219/550",0.0170614157615191,0.0387759449125433,0.0228573991063413,"854221/852569/853784/853956/856553/855408/850982/854021/851208/851403/851656",11,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"CC"
"94","K67
(5)","GO:0030684","preribosome",0.6,"16/550",0.000195884439397032,0.00391768878794064,0.00247432976080462,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
"95","K67
(5)","GO:1990904","ribonucleoprotein complex",0.6,"20/550",0.000394326844189126,0.00394326844189126,0.00249048533172079,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
"96","K67
(5)","GO:0005730","nucleolus",0.6,"31/550",0.00150724298497821,0.00603324948371488,0.00381047335813571,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
