"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"69","K3
(67)","GO:0005488","binding",0.761194029850746,"281/546",9.71722464503411e-06,0.000352285048745921,0.000326488431904114,"853821/853752/850934/855459/850540/852578/850638/853773/852700/853798/852819/852091/852099/856736/853100/852787/855636/850639/852274/856577/855555/852249/856263/856648/850734/851177/850447/853010/853880/854889/852180/853539/851533/851813/851925/854903/850345/851947/850822/854974/855962/854223/854700/853728/854497/853729/852499/852673/854294/853283/852258",51,"K3 (67)","Bayesian",2,"Bayesian: chain 2",3,"MF"
"70","K3
(67)","GO:0008017","microtubule binding",0.149253731343284,"19/546",1.53167412498227e-05,0.000352285048745921,0.000326488431904114,"852819/856736/852787/856577/852249/856263/856648/850734/853010/854223",10,"K3 (67)","Bayesian",2,"Bayesian: chain 2",3,"MF"
"71","K3
(67)","GO:0015631","tubulin binding",0.149253731343284,"19/546",1.53167412498227e-05,0.000352285048745921,0.000326488431904114,"852819/856736/852787/856577/852249/856263/856648/850734/853010/854223",10,"K3 (67)","Bayesian",2,"Bayesian: chain 2",3,"MF"
"72","K3
(67)","GO:0008092","cytoskeletal protein binding",0.164179104477612,"24/546",2.94744429202161e-05,0.000542329749731976,0.000502616816113159,"852819/856736/852787/856577/852249/856263/856648/850734/853010/854223/853729",11,"K3 (67)","Bayesian",2,"Bayesian: chain 2",3,"MF"
"73","K5
(38)","GO:0015075","ion transmembrane transporter activity",0.131578947368421,"12/546",0.000694985282257951,0.0229794989633565,0.0229794989633565,"855023/851246/856279/851597/852343",5,"K5 (38)","Bayesian",2,"Bayesian: chain 2",5,"MF"
"74","K5
(38)","GO:0005215","transporter activity",0.157894736842105,"19/546",0.00106059225984722,0.0229794989633565,0.0229794989633565,"855023/851246/856279/856049/851597/852343",6,"K5 (38)","Bayesian",2,"Bayesian: chain 2",5,"MF"
"75","K5
(38)","GO:0022857","transmembrane transporter activity",0.157894736842105,"19/546",0.00106059225984722,0.0229794989633565,0.0229794989633565,"855023/851246/856279/856049/851597/852343",6,"K5 (38)","Bayesian",2,"Bayesian: chain 2",5,"MF"
"76","K12
(25)","GO:0003723","RNA binding",0.32,"30/546",1.80209273350199e-05,0.00102719285809614,0.000986408654127407,"854221/853996/853784/853956/856553/850982/854021/856228",8,"K12 (25)","Bayesian",2,"Bayesian: chain 2",12,"MF"
"77","K12
(25)","GO:0140098","catalytic activity, acting on RNA",0.2,"14/546",0.000202007399421353,0.00575721088350857,0.00552862356311072,"854221/853996/853784/855571/851656",5,"K12 (25)","Bayesian",2,"Bayesian: chain 2",12,"MF"
"78","K15
(21)","GO:0005488","binding",0.904761904761905,"281/546",0.000142316310439032,0.00466233024350882,0.00383415316078028,"851399/852245/856305/851671/853327/851266/850793/855621/855950/852385/851561/853747/854063/854786/851102/850880/855404/851691/852228",19,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
"79","K15
(21)","GO:0003677","DNA binding",0.523809523809524,"92/546",0.000145697820109651,0.00466233024350882,0.00383415316078028,"851399/852245/856305/851671/851266/850793/855621/855950/852385/854063/855404",11,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
