"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"46",1,1,195.32,0,10,"Consensus",100,"Consensus (1, 100)"
"47",10,1,33.44,0,10,"Consensus",100,"Consensus (10, 100)"
"48",100,1,21.2,0,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,1,20.4,0,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,1,20.4,0,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.0044875740210695,258,-2,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.555769823866929,56,-2,11,"Consensus",1,"Consensus (10, 1)"
"53",100,0.555769823866929,56,-2,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,0.555769823866929,56,-2,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,0.555769823866929,56,-2,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.947848162529997,182.6,-2,11,"Consensus",10,"Consensus (1, 10)"
"57",10,1,47,0,11,"Consensus",10,"Consensus (10, 10)"
"58",100,1,16.8,0,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,1,16.8,0,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,1,16.8,0,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.945009561602758,185.666666666667,-2,11,"Consensus",30,"Consensus (1, 30)"
"62",10,1,48.6000000000001,0,11,"Consensus",30,"Consensus (10, 30)"
"63",100,1,21.8666666666667,0,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,1,20.5333333333334,0,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,1,20.5333333333334,0,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0.945009561602758,193.44,-2,11,"Consensus",50,"Consensus (1, 50)"
"67",10,1,46.68,0,11,"Consensus",50,"Consensus (10, 50)"
"68",100,1,20.16,0,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,1,19.36,0,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,1,19.36,0,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,1,200.58,0,11,"Consensus",100,"Consensus (1, 100)"
"72",10,1,38.1600000000001,0,11,"Consensus",100,"Consensus (10, 100)"
"73",100,1,20.46,0,11,"Consensus",100,"Consensus (100, 100)"
"74",1000,1,18.64,0,11,"Consensus",100,"Consensus (1000, 100)"
"75",10000,1,18.64,0,11,"Consensus",100,"Consensus (10000, 100)"
"76",1,0.182792578980391,254,-2,12,"Consensus",1,"Consensus (1, 1)"
"77",10,0.995210859035056,4,-1,12,"Consensus",1,"Consensus (10, 1)"
"78",100,1,0,0,12,"Consensus",1,"Consensus (100, 1)"
"79",1000,1,0,0,12,"Consensus",1,"Consensus (1000, 1)"
"80",10000,1,0,0,12,"Consensus",1,"Consensus (10000, 1)"
"81",1,0.970872863019236,184.2,-2,12,"Consensus",10,"Consensus (1, 10)"
"82",10,0.992806600311225,24.8,-2,12,"Consensus",10,"Consensus (10, 10)"
"83",100,0.992806600311225,3.6,-2,12,"Consensus",10,"Consensus (100, 10)"
"84",1000,0.992806600311225,3.6,-2,12,"Consensus",10,"Consensus (1000, 10)"
