"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Model","Chain","Cluster_plt","Ontology"
"81","K32
(8)","BP","GO:0006950","response to stress",0.625,"121/549",0.0152151950191013,0.0374404815950746,0.0166558533411673,"851811/852295/851810/855700/852283",5,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"82","K32
(8)","CC","GO:0000788","nuclear nucleosome",1,"10/550",2.28056389354179e-16,5.70140973385446e-15,1.44035614328955e-15,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"83","K32
(8)","CC","GO:0000786","nucleosome",1,"11/550",8.36206760965323e-16,1.04525845120665e-14,2.64065292936418e-15,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"84","K32
(8)","CC","GO:0044815","DNA packaging complex",1,"13/550",6.52241273552956e-15,5.43534394627463e-14,1.37313952326938e-14,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"85","K32
(8)","CC","GO:0000790","nuclear chromatin",1,"30/550",2.96621542813512e-11,1.48310771406756e-10,3.74679843553910e-11,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"86","K32
(8)","CC","GO:0032993","protein-DNA complex",1,"30/550",2.96621542813512e-11,1.48310771406756e-10,3.74679843553910e-11,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"87","K34
(8)","CC","GO:0099080","supramolecular complex",0.5,"43/550",0.00181094947525896,0.0218499231301079,0.0183999352674593,"856738/850447/853814/855238",4,"K34 (8)","Consensus clustering",500,100,"CC(500,100)",NA,34,"ALL"
"88","K34
(8)","CC","GO:0000776","kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",500,100,"CC(500,100)",NA,34,"ALL"
"89","K34
(8)","CC","GO:0000777","condensed chromosome kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",500,100,"CC(500,100)",NA,34,"ALL"
"90","K34
(8)","CC","GO:0000778","condensed nuclear chromosome kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",500,100,"CC(500,100)",NA,34,"ALL"
"91","K34
(8)","CC","GO:0000779","condensed chromosome, centromeric region",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",500,100,"CC(500,100)",NA,34,"ALL"
"92","K35
(21)","CC","GO:0005816","spindle pole body",0.333333333333333,"37/550",0.000205043978657949,0.00994102454016508,0.0071053456752317,"850734/852216/853513/855859/854240/854889/850907",7,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"93","K35
(21)","CC","GO:0005815","microtubule organizing center",0.333333333333333,"38/550",0.000245457396053459,0.00994102454016508,0.0071053456752317,"850734/852216/853513/855859/854240/854889/850907",7,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"94","K35
(21)","CC","GO:0099080","supramolecular complex",0.333333333333333,"43/550",0.000556459670045877,0.0115754649684228,0.00827356170582527,"855144/850734/852216/855859/854240/854889/852655",7,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"95","K35
(21)","CC","GO:0015630","microtubule cytoskeleton",0.380952380952381,"57/550",0.0005716278996752,0.0115754649684228,0.00827356170582527,"850734/852216/853513/855859/854240/854889/852655/850907",8,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"96","K35
(21)","CC","GO:0005819","spindle",0.285714285714286,"33/550",0.000834548709599368,0.0135196890955098,0.00966319558483479,"850734/852216/853513/855859/854240/854889",6,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"97","K35
(21)","CC","GO:0005856","cytoskeleton",0.380952380952381,"79/550",0.00539177077651723,0.029432956942833,0.0210372011937078,"850734/852216/853513/855859/854240/854889/852655/850907",8,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
"98","K35
(21)","CC","GO:0000776","kinetochore",0.19047619047619,"21/550",0.00617728725960692,0.029432956942833,0.0210372011937078,"855144/850734/855859/854240",4,"K35 (21)","Consensus clustering",500,100,"CC(500,100)",NA,35,"ALL"
