"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"62","K32
(8)","GO:0043228","non-membrane-bounded organelle",1,"219/550",0.000584374152059878,0.00081163076674983,0.000205043562126273,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"63","K32
(8)","GO:0043232","intracellular non-membrane-bounded organelle",1,"219/550",0.000584374152059878,0.00081163076674983,0.000205043562126273,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"64","K32
(8)","GO:0005634","nucleus",1,"295/550",0.0065510413781633,0.00861979128705697,0.00217763148304597,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"65","K34
(8)","GO:0099080","supramolecular complex",0.5,"43/550",0.00181094947525896,0.0218499231301079,0.0183999352674593,"856738/850447/853814/855238",4,"K34 (8)","Consensus clustering",NA,"Consensus Clustering",34,"CC"
"66","K34
(8)","GO:0000776","kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",NA,"Consensus Clustering",34,"CC"
"67","K34
(8)","GO:0000777","condensed chromosome kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",NA,"Consensus Clustering",34,"CC"
"68","K34
(8)","GO:0000778","condensed nuclear chromosome kinetochore",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",NA,"Consensus Clustering",34,"CC"
"69","K34
(8)","GO:0000779","condensed chromosome, centromeric region",0.375,"21/550",0.00238362797782996,0.0218499231301079,0.0183999352674593,"856738/850447/853814",3,"K34 (8)","Consensus clustering",NA,"Consensus Clustering",34,"CC"
"70","K35
(21)","GO:0005816","spindle pole body",0.333333333333333,"37/550",0.000205043978657949,0.00994102454016508,0.0071053456752317,"850734/852216/853513/855859/854240/854889/850907",7,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"71","K35
(21)","GO:0005815","microtubule organizing center",0.333333333333333,"38/550",0.000245457396053459,0.00994102454016508,0.0071053456752317,"850734/852216/853513/855859/854240/854889/850907",7,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"72","K35
(21)","GO:0099080","supramolecular complex",0.333333333333333,"43/550",0.000556459670045877,0.0115754649684228,0.00827356170582527,"855144/850734/852216/855859/854240/854889/852655",7,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"73","K35
(21)","GO:0015630","microtubule cytoskeleton",0.380952380952381,"57/550",0.0005716278996752,0.0115754649684228,0.00827356170582527,"850734/852216/853513/855859/854240/854889/852655/850907",8,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"74","K35
(21)","GO:0005819","spindle",0.285714285714286,"33/550",0.000834548709599368,0.0135196890955098,0.00966319558483479,"850734/852216/853513/855859/854240/854889",6,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"75","K35
(21)","GO:0005856","cytoskeleton",0.380952380952381,"79/550",0.00539177077651723,0.029432956942833,0.0210372011937078,"850734/852216/853513/855859/854240/854889/852655/850907",8,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"76","K35
(21)","GO:0000776","kinetochore",0.19047619047619,"21/550",0.00617728725960692,0.029432956942833,0.0210372011937078,"855144/850734/855859/854240",4,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"77","K35
(21)","GO:0000777","condensed chromosome kinetochore",0.19047619047619,"21/550",0.00617728725960692,0.029432956942833,0.0210372011937078,"855144/850734/855859/854240",4,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"78","K35
(21)","GO:0000778","condensed nuclear chromosome kinetochore",0.19047619047619,"21/550",0.00617728725960692,0.029432956942833,0.0210372011937078,"855144/850734/855859/854240",4,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"79","K35
(21)","GO:0000779","condensed chromosome, centromeric region",0.19047619047619,"21/550",0.00617728725960692,0.029432956942833,0.0210372011937078,"855144/850734/855859/854240",4,"K35 (21)","Consensus clustering",NA,"Consensus Clustering",35,"CC"
"80","K36
(26)","GO:0000794","condensed nuclear chromosome",0.269230769230769,"36/550",0.000755758057116145,0.0423240356312175,0.0327087817003413,"853010/850995/854827/852180/851533/851708/851925",7,"K36 (26)","Consensus clustering",NA,"Consensus Clustering",36,"CC"
"81","K36
(26)","GO:0000793","condensed chromosome",0.269230769230769,"38/550",0.00107149457294222,0.0423240356312175,0.0327087817003413,"853010/850995/854827/852180/851533/851708/851925",7,"K36 (26)","Consensus clustering",NA,"Consensus Clustering",36,"CC"
