,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
YHR149C,0.459500,0.939500,0.449500,0.429500,-0.050500,-0.520500,-0.830500,-0.430500,-0.470500,-0.120500,-0.070500,0.389500,0.579500,0.699500,0.629500,0.189500,0.069500,-0.600500,-0.090500,-0.590500,-0.420500,-0.380500,-0.120500,0.009500,0.149500,-0.090500,0.359500,0.449500,0.169500,-0.150500,-0.240500,-0.520500,-0.210500,-0.490500,-0.230500,0.119500,-0.080500,0.269500,0.119500,0.259500,-0.030500
YJL217W,-1.088300,-1.208300,-0.868300,-0.988300,-0.548300,-0.968300,-0.538300,-0.538300,0.091700,-0.178300,0.521700,0.311700,0.761700,0.561700,0.841700,0.571700,0.471700,0.071700,0.581700,0.331700,-0.028300,0.051700,0.231700,0.221700,0.451700,0.681700,0.701700,0.451700,0.151700,0.231700,-0.278300,-0.508300,-0.258300,-0.008300,-0.368300,-0.178300,-0.138300,0.061700,-0.038300,0.241700,0.131700
YLR457C,-0.071500,0.708500,0.298500,0.418500,0.178500,-0.161500,-0.401500,-0.161500,-0.121500,0.038500,0.118500,0.318500,0.458500,0.238500,0.438500,0.008500,0.098500,-0.571500,-0.081500,-0.231500,-0.221500,-0.111500,-0.121500,0.108500,-0.011500,-0.081500,0.058500,0.278500,-0.101500,0.098500,-0.241500,-0.341500,-0.261500,-0.131500,-0.291500,-0.071500,-0.161500,0.178500,-0.121500,0.138500,-0.111500
YNL310C,0.183200,0.273200,0.443200,0.153200,-0.216800,-0.476800,-0.606800,-0.416800,-0.266800,-0.196800,-0.066800,0.023200,0.343200,0.393200,0.383200,0.103200,0.003200,-0.426800,-0.066800,-0.166800,-0.226800,0.013200,-0.016800,0.033200,0.143200,0.193200,0.383200,0.183200,0.213200,-0.106800,-0.126800,-0.516800,-0.206800,0.123200,-0.206800,0.013200,0.053200,0.173200,0.103200,0.343200,0.043200
YDL022W,0.150500,0.090500,-0.049500,0.210500,0.130500,0.040500,-0.279500,-0.199500,-0.339500,-0.269500,-0.269500,-0.409500,-0.209500,-0.069500,-0.049500,0.010500,0.100500,-0.299500,0.210500,-0.119500,-0.109500,-0.019500,0.070500,-0.019500,0.090500,0.110500,0.240500,0.180500,0.240500,0.160500,0.010500,-0.509500,0.070500,0.120500,0.110500,0.170500,0.160500,0.080500,0.110500,0.150500,0.200500
YDL103C,0.006300,0.476300,0.346300,0.396300,0.056300,-0.423700,-0.663700,-0.383700,-0.313700,-0.293700,-0.053700,0.086300,0.386300,0.366300,0.426300,0.196300,0.066300,-0.613700,0.006300,-0.303700,-0.263700,-0.153700,0.026300,-0.043700,0.136300,-0.023700,0.336300,0.316300,0.276300,-0.053700,-0.093700,-0.583700,-0.043700,-0.143700,-0.063700,-0.063700,0.106300,0.066300,0.116300,0.326300,0.056300
YDL127W,0.546600,0.746600,0.566600,0.476600,0.166600,-0.203400,-0.533400,-0.463400,-0.533400,-0.263400,0.036600,0.406600,0.636600,0.716600,0.666600,0.376600,0.296600,-0.113400,-0.023400,-0.553400,-0.503400,-0.523400,-0.103400,0.156600,0.196600,0.066600,0.306600,0.326600,0.066600,-0.113400,-0.293400,-0.633400,-0.343400,-0.473400,-0.453400,-0.323400,-0.143400,-0.043400,-0.063400,0.106600,-0.163400
YDL156W,0.137300,0.937300,0.327300,0.327300,-0.072700,-0.502700,-0.782700,-0.612700,-0.712700,-0.262700,-0.112700,0.497300,0.667300,0.687300,0.567300,0.197300,0.197300,-0.492700,-0.192700,-0.572700,-0.442700,-0.352700,-0.162700,0.047300,0.137300,-0.042700,0.377300,0.407300,0.267300,-0.112700,-0.082700,-0.332700,-0.222700,-0.382700,-0.172700,0.117300,0.047300,0.287300,0.177300,0.187300,0.027300
YDR279W,0.159500,0.349500,0.409500,0.369500,-0.150500,-0.220500,-0.340500,-0.100500,-0.060500,-0.110500,0.129500,0.309500,0.459500,0.499500,0.379500,0.249500,0.049500,-0.400500,-0.110500,-0.180500,-0.110500,-0.010500,0.169500,-0.030500,0.179500,-0.020500,0.139500,0.159500,-0.060500,-0.100500,-0.370500,-0.550500,-0.140500,-0.180500,-0.180500,-0.070500,-0.140500,-0.080500,-0.090500,0.199500,-0.400500
YDR528W,1.442400,1.482400,0.542400,0.392400,-0.317600,-0.637600,-0.817600,-0.547600,-0.417600,-0.117600,-0.137600,0.142400,0.552400,0.582400,0.612400,-0.017600,0.022400,-0.647600,-0.237600,-0.597600,-0.447600,-0.257600,-0.167600,-0.047600,-0.077600,-0.017600,0.272400,0.382400,0.242400,-0.197600,-0.177600,-0.457600,-0.177600,-0.377600,-0.297600,-0.047600,-0.117600,0.142400,0.152400,0.332400,0.062400
